first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,profile_url,dob
Kevin,Jousset,Air,"6' 2""",170 lbs.,"75.0""",Orthodox,10,4,0,,http://ufcstats.com/fighter-details/dda15dbfafb792df,"May 02, 1993"
Mike,Joy,,"5' 6""",155 lbs.,--,Southpaw,11,8,0,,http://ufcstats.com/fighter-details/35080a7f406f9ab3,"Jul 18, 1985"
Dustin,Joynson,,"6' 6""",244 lbs.,"78.0""",Orthodox,5,0,0,,http://ufcstats.com/fighter-details/791367e8c35cfb6a,"Oct 14, 1985"
Tony,Juarez,,--,155 lbs.,--,,1,12,0,,http://ufcstats.com/fighter-details/97f3692d5444a80a,
Jesse,Juarez,,"6' 1""",170 lbs.,--,Orthodox,23,12,0,,http://ufcstats.com/fighter-details/cd039ff136d89ded,"May 08, 1981"
Ernie,Juarez,The Young Titan,"5' 8""",145 lbs.,"70.0""",,8,1,0,,http://ufcstats.com/fighter-details/410898e8dd6ca9b6,"Jan 12, 1998"
Anshul,Jubli,King of Lions,"6' 0""",155 lbs.,"69.0""",Switch,7,2,0,,http://ufcstats.com/fighter-details/a72a2a769fa5a2be,"Jan 13, 1995"
Carli,Judice,Crispy,"5' 7""",125 lbs.,"68.0""",Southpaw,5,2,0,,http://ufcstats.com/fighter-details/f1ab6f37492c630a,"Mar 02, 1999"
Steve,Judson,,"5' 11""",230 lbs.,--,Orthodox,0,2,0,,http://ufcstats.com/fighter-details/6ece1d2ab1bed31d,
Luke,Jumeau,The Jedi,"5' 11""",170 lbs.,"72.0""",Orthodox,13,5,0,,http://ufcstats.com/fighter-details/4c288a2b250bb576,"Feb 12, 1988"
Bu-Kyung,Jung,,"5' 7""",154 lbs.,--,Orthodox,0,4,0,,http://ufcstats.com/fighter-details/b35d1650c78c2948,"May 26, 1978"
Chan Sung,Jung,The Korean Zombie,"5' 7""",145 lbs.,"72.0""",Orthodox,17,8,0,,http://ufcstats.com/fighter-details/c451d67c09c55418,"Mar 17, 1987"
Young Sam,Jung,,"5' 8""",139 lbs.,--,Orthodox,4,8,0,,http://ufcstats.com/fighter-details/13104eaed3ae96c3,"Oct 27, 1985"
Da Woon,Jung,Sseda,"6' 4""",205 lbs.,"78.0""",Orthodox,15,6,1,,http://ufcstats.com/fighter-details/74f9448b97bf8bec,"Dec 07, 1993"
Scott,Junk,,"6' 1""",265 lbs.,--,Orthodox,8,3,1,,http://ufcstats.com/fighter-details/ac70a4f1db1b8c40,"Dec 17, 1978"
Myles,Jury,Fury,"5' 10""",145 lbs.,"73.0""",Orthodox,17,4,0,,http://ufcstats.com/fighter-details/08e908ed6d18d6a0,"Oct 31, 1988"
Cristiane,Justino,Cyborg,"5' 8""",145 lbs.,"68.0""",Orthodox,21,2,0,,http://ufcstats.com/fighter-details/634bb0de2eb043b4,"Jul 09, 1985"
Patrick,Kaase,Kamikaze,"5' 9""",185 lbs.,--,,1,2,0,,http://ufcstats.com/fighter-details/b180f05acb24d430,
Emily,Kagan,,"5' 3""",115 lbs.,--,,3,3,0,,http://ufcstats.com/fighter-details/c1ea9d56cd953586,"Jul 14, 1981"
Oron,Kahlon,,"5' 8""",135 lbs.,"70.0""",Orthodox,16,1,0,,http://ufcstats.com/fighter-details/00a35c92b03992b0,"Nov 04, 1984"
,Kaiwen,The Underdog,"5' 8""",145 lbs.,"71.0""",Switch,15,6,0,,http://ufcstats.com/fighter-details/0565706b1e7f7e7c,"Oct 16, 1995"
Sirwan,Kakai,Zohan,"5' 5""",135 lbs.,--,Orthodox,12,5,0,,http://ufcstats.com/fighter-details/2525a853486ee670,"Oct 03, 1989"
Saidyokub,Kakhramonov,,"5' 8""",135 lbs.,"69.0""",Orthodox,10,3,0,,http://ufcstats.com/fighter-details/50a28b9f8314e008,"Nov 14, 1995"
Geza,Kalman,,"6' 1""",200 lbs.,--,,4,9,0,,http://ufcstats.com/fighter-details/304fcd812f12c589,
Bryson,Kamaka,,"5' 11""",170 lbs.,--,Orthodox,12,20,1,,http://ufcstats.com/fighter-details/9336e86cfd4ceaa1,
Kai,Kamaka,The Fighting Hawaiian,"5' 7""",145 lbs.,"69.0""",Orthodox,8,4,1,,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,"Jan 05, 1995"
Shah,Kamali,,--,265 lbs.,--,,4,0,0,,http://ufcstats.com/fighter-details/a46ab6c64d321c2d,"Oct 25, 1998"
Shuya,Kamikubo,Stealth,"5' 5""",135 lbs.,"68.0""",Switch,13,2,1,,http://ufcstats.com/fighter-details/a46fa1c7972548d0,"Apr 12, 1993"
Daichi,Kamiya,,"5' 8""",155 lbs.,"68.0""",Southpaw,6,1,0,,http://ufcstats.com/fighter-details/a497e228cce8a64f,"Apr 19, 1999"
Martin,Kampmann,The Hitman,"6' 0""",170 lbs.,"72.0""",Orthodox,20,7,0,,http://ufcstats.com/fighter-details/8b69839f3555a67b,"Apr 17, 1982"
Koya,Kanda,Bushido,"5' 9""",145 lbs.,"75.0""",Southpaw,12,5,0,,http://ufcstats.com/fighter-details/b42d3a1469dab722,"Dec 20, 1995"
Bharat,Kandare,Daring,"5' 7""",135 lbs.,"72.0""",Orthodox,5,3,0,,http://ufcstats.com/fighter-details/efd2b3e9bb7965a4,"Jun 20, 1987"
Hiromitsu,Kanehara,,"5' 10""",200 lbs.,--,Orthodox,19,27,5,,http://ufcstats.com/fighter-details/eda579d906cf0ca2,"Oct 05, 1970"
Masanori,Kanehara,,"5' 7""",135 lbs.,"67.0""",Orthodox,26,12,5,,http://ufcstats.com/fighter-details/f3a078277b3b8ff4,"Nov 19, 1982"
Ken,Kaneko,,"6' 0""",161 lbs.,--,Orthodox,0,3,0,,http://ufcstats.com/fighter-details/5345f86680378fc1,
Denis,Kang,,"5' 11""",185 lbs.,"77.0""",Orthodox,35,16,2,,http://ufcstats.com/fighter-details/3c241737a6069b9f,"Sep 17, 1977"
Kyung Ho,Kang,Mr. Perfect,"5' 9""",135 lbs.,"73.0""",Orthodox,19,11,0,,http://ufcstats.com/fighter-details/a7897d200692ab64,"Sep 09, 1987"
Manel,Kape,StarBoy,"5' 5""",125 lbs.,"68.0""",Southpaw,21,7,0,,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,"Nov 14, 1993"
David,Kaplan,Diamond,"5' 7""",155 lbs.,--,Orthodox,3,4,0,,http://ufcstats.com/fighter-details/5669b828e7e11329,"Nov 16, 1979"
Kai,Kara-France,Don't Blink,"5' 4""",125 lbs.,"69.0""",Orthodox,25,12,0,,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,"Mar 26, 1993"
Georgi,Karakhanyan,Insane,"5' 8""",145 lbs.,--,,26,7,1,,http://ufcstats.com/fighter-details/43292ecf0e72c143,"May 29, 1985"
Alex,Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,10,6,0,,http://ufcstats.com/fighter-details/e361e5c858af6ff1,"Sep 20, 1977"
Ernesta,Kareckaite,Heavy-Handed,"5' 9""",125 lbs.,"71.0""",Orthodox,6,1,1,,http://ufcstats.com/fighter-details/e4faa79383c9f214,"Jul 05, 1998"
Impa,Kasanganay,Tshilobo,"5' 11""",170 lbs.,"75.0""",Orthodox,9,2,0,,http://ufcstats.com/fighter-details/257b0c8d6f199895,"Jan 17, 1994"
Jinnosuke,Kashimura,,"5' 7""",155 lbs.,"71.0""",Southpaw,4,2,0,,http://ufcstats.com/fighter-details/4a9120fa47bafef0,"Aug 12, 2001"
Nadia,Kassem,,"5' 5""",125 lbs.,"66.0""",Southpaw,5,2,0,,http://ufcstats.com/fighter-details/6e7506127408aa9e,"Nov 15, 1995"
Yusuke,Kasuya,,"5' 7""",155 lbs.,--,Southpaw,9,3,0,,http://ufcstats.com/fighter-details/3058888c33149a53,"Nov 16, 1989"
Tetsuji,Kato,,--,155 lbs.,--,Orthodox,20,10,0,,http://ufcstats.com/fighter-details/542db012217ecb83,
Hisaki,Kato,,"6' 0""",185 lbs.,--,,8,2,0,,http://ufcstats.com/fighter-details/ebf1c247b2cba375,"Sep 17, 1982"
Brad,Katona,Superman,"5' 6""",135 lbs.,"64.0""",Orthodox,16,5,0,,http://ufcstats.com/fighter-details/7b433309b0fd12aa,"Dec 19, 1991"
Calvin,Kattar,,"5' 11""",145 lbs.,"72.0""",Orthodox,23,10,0,,http://ufcstats.com/fighter-details/751de04455cfaac0,"Mar 26, 1988"
Sarah,Kaufman,,"5' 5""",135 lbs.,"66.0""",Orthodox,18,4,0,,http://ufcstats.com/fighter-details/36df8e119aec6175,"Sep 20, 1985"
Lone'er,Kavanagh,,"5' 4""",125 lbs.,"67.0""",Orthodox,9,0,0,,http://ufcstats.com/fighter-details/bb2c3c3a466224af,"Jun 09, 1999"
Yusuke,Kawaguchi,,"6' 0""",255 lbs.,--,,18,12,0,,http://ufcstats.com/fighter-details/fa2320781bfe4f49,"Aug 14, 1980"
Canaan,Kawaihae,,"6' 0""",145 lbs.,"71.0""",Southpaw,6,2,0,,http://ufcstats.com/fighter-details/58d42b9e920b25fc,"Aug 26, 1997"
Tatsuya,Kawajiri,Crusher,"5' 7""",145 lbs.,"69.0""",Orthodox,36,11,2,,http://ufcstats.com/fighter-details/80d918336163b80c,"May 08, 1978"
Ryo,Kawamura,,"5' 11""",205 lbs.,--,Orthodox,18,9,4,,http://ufcstats.com/fighter-details/9e91d7fd2720e241,"Jun 29, 1981"
Masuto,Kawana,Mast,"5' 6""",145 lbs.,"69.0""",Orthodox,10,4,0,,http://ufcstats.com/fighter-details/49f4171f14f54220,"Jan 30, 1995"
Doug,Kay,,--,--,--,,0,0,0,,http://ufcstats.com/fighter-details/547c5611bd366988,
Toshiomi,Kazama,,"5' 7""",135 lbs.,"69.0""",Orthodox,11,4,0,,http://ufcstats.com/fighter-details/148bb103cfbf123e,"May 15, 1997"
Julie,Kedzie,,"5' 5""",135 lbs.,--,Orthodox,16,13,0,,http://ufcstats.com/fighter-details/981ab7a0576f76a0,"Mar 18, 1981"
Ryan,Keenan,,"5' 10""",170 lbs.,--,,6,2,0,,http://ufcstats.com/fighter-details/a72b20136239ba39,"Jun 15, 1985"
CJ,Keith,,"6' 0""",155 lbs.,--,Orthodox,8,4,0,,http://ufcstats.com/fighter-details/c0eecd851dbf3146,"Aug 09, 1986"
Chris,Kelades,The Greek Assassin,"5' 7""",125 lbs.,"68.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/56c9acc4e86046a2,"Feb 21, 1981"
Brian,Kelleher,Boom,"5' 6""",135 lbs.,"66.0""",Switch,24,16,0,,http://ufcstats.com/fighter-details/7be14eaed4c74856,"Aug 19, 1986"
Mayana,Kellem,,"5' 5""",135 lbs.,--,Orthodox,7,1,0,,http://ufcstats.com/fighter-details/c788481ae19e798d,"Jul 07, 1981"
Tony,Kelley,Primetime,"5' 9""",135 lbs.,"70.0""",Switch,8,3,0,,http://ufcstats.com/fighter-details/1a08b01fdabb6ae2,"Jan 21, 1987"
Paul,Kelly,,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,0,,http://ufcstats.com/fighter-details/aac5ac38148f0528,"Sep 12, 1984"
John,Kelly,,"5' 9""",170 lbs.,--,,5,4,0,,http://ufcstats.com/fighter-details/ace83095105dd205,"Aug 02, 1978"
Daniel,Kelly,,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,0,,http://ufcstats.com/fighter-details/bdcbb976816fd256,"Oct 31, 1977"
Tim,Kennedy,,"5' 11""",185 lbs.,"74.0""",Orthodox,18,6,0,,http://ufcstats.com/fighter-details/3c660c90d48fc80d,"Sep 01, 1979"
Steve,Kennedy,The Steamrolla,"5' 11""",170 lbs.,--,Orthodox,24,8,0,,http://ufcstats.com/fighter-details/185fb0200a4605e6,"Mar 07, 1983"
Jeremy,Kennedy,JBC,"5' 11""",145 lbs.,"71.0""",Orthodox,11,1,0,,http://ufcstats.com/fighter-details/68f6e96c5fa6e044,"Sep 16, 1992"
Waylon,Kennell,,"6' 0""",185 lbs.,--,,6,2,0,,http://ufcstats.com/fighter-details/9b8a73b59be8d786,
Casey,Kenney,,"5' 7""",135 lbs.,"68.0""",Southpaw,16,4,1,,http://ufcstats.com/fighter-details/e7bba7ce4d6c7b07,"Mar 20, 1991"
Maimaitituoheti,Keremuaili,Kyrgyz Mountain Eagle,"5' 6""",135 lbs.,"66.0""",Orthodox,26,11,0,,http://ufcstats.com/fighter-details/772022b989534f0d,"Mar 18, 1991"
Aurelijus,Kerpe,,--,--,--,Orthodox,11,22,0,,http://ufcstats.com/fighter-details/c1e4ae143cce7398,
Mark,Kerr,The Smashing Machine,"6' 3""",266 lbs.,--,Switch,15,11,0,,http://ufcstats.com/fighter-details/a7b48e18ca27795d,"Dec 21, 1968"
Will,Kerr,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/ef61d9f5176b3200,"Oct 21, 1982"
Ron,Keslar,,--,185 lbs.,--,,11,9,0,,http://ufcstats.com/fighter-details/b84f34b425dfd24b,
Rustam,Khabilov,Tiger,"5' 8""",155 lbs.,"73.0""",Orthodox,24,4,0,,http://ufcstats.com/fighter-details/9b7694d064a8a0ad,"Nov 04, 1986"
Adam,Khaliev,,"6' 0""",170 lbs.,--,Orthodox,6,0,0,,http://ufcstats.com/fighter-details/1aba18b5f15d4956,"Apr 16, 1984"
Sergey,Khandozhko,Honda,"6' 1""",170 lbs.,"74.0""",Orthodox,28,6,1,,http://ufcstats.com/fighter-details/90da09db03e41748,"May 19, 1992"
Sergei,Kharitonov,,"6' 0""",245 lbs.,--,Orthodox,26,6,0,,http://ufcstats.com/fighter-details/0693b2eab79198ea,"Aug 18, 1980"
Alfred,Khashakyan,The Fearless,"5' 8""",135 lbs.,"70.0""",Orthodox,8,3,0,,http://ufcstats.com/fighter-details/3929efe0c0a83d07,"Jul 17, 1988"
Aziz,Khaydarov,,"5' 8""",155 lbs.,"72.0""",Orthodox,21,7,0,,http://ufcstats.com/fighter-details/a072b512b6f4fc42,"Sep 25, 1993"
Mansher,Khera,New Era,"5' 7""",155 lbs.,"68.0""",Orthodox,10,0,0,,http://ufcstats.com/fighter-details/4bbd1e5c77ef3c2f,"Apr 15, 1992"
Aliaskhab,Khizriev,Black Wolf,"5' 9""",185 lbs.,"74.0""",Southpaw,14,0,0,,http://ufcstats.com/fighter-details/7ab478c397cd68ef,"Aug 24, 1990"
WonBin,Ki,The Danger,"5' 11""",155 lbs.,"73.0""",Orthodox,18,9,0,,http://ufcstats.com/fighter-details/aaeb55084b198a39,"Feb 11, 1991"
Pannie,Kianzad,Banzai,"5' 7""",135 lbs.,"66.0""",Orthodox,17,9,0,,http://ufcstats.com/fighter-details/91dac5e69e28d5b5,"Dec 08, 1991"
Akira,Kikuchi,,"5' 8""",155 lbs.,--,Orthodox,16,4,0,,http://ufcstats.com/fighter-details/9c37681096c6f3a9,"Jul 23, 1978"
Katsunori,Kikuno,,"5' 8""",145 lbs.,"66.0""",Orthodox,24,8,2,,http://ufcstats.com/fighter-details/44470bfd9483c7ad,"Oct 31, 1981"
Sanae,Kikuta,,"5' 9""",200 lbs.,--,Orthodox,31,9,3,,http://ufcstats.com/fighter-details/e4bde462b043d3e1,"Sep 10, 1971"
Jacob,Kilburn,The Killer,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,,http://ufcstats.com/fighter-details/637bd06c32219f0b,"Jun 28, 1995"
Dong Hyun,Kim,Stun Gun,"6' 2""",170 lbs.,"76.0""",Southpaw,22,4,1,,http://ufcstats.com/fighter-details/9bcf8603ceb25680,"Nov 17, 1981"
Jin Oh,Kim,,"5' 9""",205 lbs.,--,Orthodox,0,4,0,,http://ufcstats.com/fighter-details/8d04923f2db59b7f,
Dae Won,Kim,,"5' 11""",180 lbs.,--,Orthodox,11,7,0,,http://ufcstats.com/fighter-details/354808cf38d9d73c,
Jong Wang,Kim,,"6' 1""",240 lbs.,--,,13,23,0,,http://ufcstats.com/fighter-details/380e8b023290d091,
Jong Won,Kim,,"5' 7""",139 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/9e0f28d1f639ad73,
Min Soo,Kim,,"6' 1""",255 lbs.,--,Southpaw,3,7,0,,http://ufcstats.com/fighter-details/831b937811804dad,"Jan 22, 1975"
Jong Man,Kim,Special Force,"5' 7""",139 lbs.,--,Orthodox,23,11,3,,http://ufcstats.com/fighter-details/dba230fe33011201,"Mar 03, 1978"
Ji Yeon,Kim,Firefist,"5' 7""",125 lbs.,"72.0""",Orthodox,9,7,2,,http://ufcstats.com/fighter-details/a20f234df70f2182,"Oct 18, 1989"
MinWoo,Kim,Korean MOAI,"5' 8""",135 lbs.,"72.0""",Orthodox,10,2,0,,http://ufcstats.com/fighter-details/6343a95f1d9e6a33,"Jul 21, 1993"
HanSeul,Kim,Spade,"6' 1""",170 lbs.,"73.0""",Southpaw,13,6,0,,http://ufcstats.com/fighter-details/2bc47c7cc6c05bd7,"Jun 19, 1990"
KyeungPyo,Kim,Redhorse,"5' 9""",155 lbs.,"71.0""",Orthodox,11,4,0,,http://ufcstats.com/fighter-details/5a9f7b5ffebdd6e7,"Jan 29, 1992"
Sangwook,Kim,Frogman,"6' 0""",155 lbs.,"71.0""",Orthodox,12,3,0,,http://ufcstats.com/fighter-details/a264d4e9a4d6bfe4,"Oct 17, 1993"
SangWon,Kim,No Problem,"5' 9""",145 lbs.,"69.0""",Orthodox,10,6,1,,http://ufcstats.com/fighter-details/e9712cad24948ce1,"Sep 01, 1993"
KyuSung,Kim,,"5' 11""",125 lbs.,"69.0""",Orthodox,12,6,0,,http://ufcstats.com/fighter-details/e7ecfab8fd86d3e1,"Nov 05, 1992"
So Yul,Kim,,--,115 lbs.,--,,8,1,0,,http://ufcstats.com/fighter-details/864c07a7ff90caae,"May 25, 1997"
Jeremy,Kimball,,"6' 0""",205 lbs.,"72.0""",Switch,15,8,0,,http://ufcstats.com/fighter-details/917a5cb9821df261,"Jan 03, 1991"
Rob,Kimmons,The Rosedale Reaper,"5' 10""",185 lbs.,"73.0""",Orthodox,25,9,0,,http://ufcstats.com/fighter-details/054defd5420a551f,"Jan 30, 1981"
Dustin,Kimura,The Diamond,"5' 7""",135 lbs.,"71.0""",Orthodox,11,3,0,,http://ufcstats.com/fighter-details/fe91d254db77a7fc,"May 21, 1989"
Taiei,Kin,,"5' 11""",185 lbs.,--,Orthodox,6,3,0,,http://ufcstats.com/fighter-details/c7ac79839e86ce33,"Jul 08, 1970"
Mike,King,,"6' 3""",185 lbs.,--,,5,1,0,,http://ufcstats.com/fighter-details/564c2f5f9eb45d67,"Aug 04, 1983"
Kyle,Kingsbury,Kingsbu,"6' 4""",205 lbs.,"79.0""",Orthodox,11,6,0,,http://ufcstats.com/fighter-details/b959e8c7fd8390d2,"Mar 22, 1982"
Yusaku,Kinoshita,,"6' 0""",170 lbs.,"71.0""",Southpaw,6,3,0,,http://ufcstats.com/fighter-details/21b5c82c1b89dab1,"Aug 21, 2000"
Kamuela,Kirk,The Jawaiian,"5' 10""",155 lbs.,"75.0""",Switch,12,6,0,,http://ufcstats.com/fighter-details/c7d7fda69ec410d3,"Apr 13, 1994"
Yurij,Kiseliov,Playboy,"5' 8""",185 lbs.,--,Orthodox,5,4,0,,http://ufcstats.com/fighter-details/51d2aaaca56e5b40,
Justine,Kish,,"5' 5""",125 lbs.,"64.0""",Orthodox,7,4,0,,http://ufcstats.com/fighter-details/928ae2e5b5f7a9ec,"Apr 13, 1988"
Koji,Kitao,,"6' 7""",350 lbs.,--,Southpaw,1,2,0,,http://ufcstats.com/fighter-details/2a6f8136da1e52c0,"Oct 12, 1963"
Satoru,Kitaoka,,"5' 6""",154 lbs.,--,,40,14,9,,http://ufcstats.com/fighter-details/e2ac5bb645f33088,"Feb 04, 1980"
Top Noi,Kiwram,,"5' 5""",125 lbs.,"67.0""",Southpaw,9,5,0,,http://ufcstats.com/fighter-details/e065b4a42a6c2c79,"Aug 15, 1992"
Ludovit,Klein,Mr. Highlight,"5' 7""",155 lbs.,"72.0""",Southpaw,23,5,1,,http://ufcstats.com/fighter-details/5b86d491d63890c5,"Feb 22, 1995"
Nick,Klein,Blue Collar,"6' 1""",185 lbs.,"77.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/7eaa5e31c2dd86aa,"Sep 08, 1995"
Seth,Kleinbeck,Mass Destruction,"6' 2""",185 lbs.,--,,8,4,0,,http://ufcstats.com/fighter-details/8ad022dd81224f61,"Jul 25, 1973"
Stefan,Klever,,--,185 lbs.,--,Orthodox,6,1,0,,http://ufcstats.com/fighter-details/bc3876891e155bb5,
Fatima,Kline,The Archangel,"5' 6""",115 lbs.,"67.0""",Orthodox,8,1,0,,http://ufcstats.com/fighter-details/745fa7b605f8e2da,"Jul 12, 2000"
Felix,Klinkhammer,,"6' 0""",170 lbs.,--,,7,0,0,,http://ufcstats.com/fighter-details/8276f28f1ad087de,
Drakkar,Klose,,"5' 9""",155 lbs.,"70.0""",Orthodox,15,3,1,,http://ufcstats.com/fighter-details/7cbf7c78d3b34218,"Mar 09, 1988"
Michael,Knaap,Hammer,"6' 2""",220 lbs.,--,Orthodox,18,22,3,,http://ufcstats.com/fighter-details/02f0e04acf102ea9,"Feb 27, 1984"
Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,12,7,1,,http://ufcstats.com/fighter-details/1fac46d466abd5b8,"Jul 05, 1984"
Jason,Knight,The Kid,"5' 10""",145 lbs.,"71.0""",Orthodox,20,5,0,,http://ufcstats.com/fighter-details/bb1a2cdad6ff34db,"Jul 14, 1992"
William,Knight,Knightmare,"5' 10""",205 lbs.,"73.0""",Orthodox,11,5,0,,http://ufcstats.com/fighter-details/5da33b8fbfa5ee95,"Apr 03, 1988"
Josefine,Knutsson,Thunder,"5' 3""",115 lbs.,"60.0""",Orthodox,8,1,0,,http://ufcstats.com/fighter-details/971dba22c622af12,"Jan 16, 1996"
Seokhyeon,Ko,The Korean Tyson,"5' 10""",170 lbs.,"71.0""",Southpaw,12,2,0,,http://ufcstats.com/fighter-details/4a07b1988477502c,"Sep 24, 1993"
Isao,Kobayashi,,"5' 8""",145 lbs.,--,,21,4,4,,http://ufcstats.com/fighter-details/a02652d063ef5baa,"Oct 28, 1988"
Kelly,Kobold,Blood Red,"5' 6""",135 lbs.,--,Orthodox,19,3,1,,http://ufcstats.com/fighter-details/c398235fcaf8d71d,"Feb 25, 1983"
Erik,Koch,Phoenix,"5' 10""",170 lbs.,"71.0""",Southpaw,16,6,0,,http://ufcstats.com/fighter-details/99bd87a300079ed9,"Oct 04, 1988"
Sokun,Koh,,"6' 1""",205 lbs.,--,,4,1,0,,http://ufcstats.com/fighter-details/6d8ef8706781c49e,
Shingo,Kohara,,"5' 6""",135 lbs.,--,,1,0,0,,http://ufcstats.com/fighter-details/44c233770075cea1,
Brad,Kohler,,"5' 9""",220 lbs.,--,Orthodox,12,15,0,,http://ufcstats.com/fighter-details/13c4313ed0f744f3,"May 26, 1964"
Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,,http://ufcstats.com/fighter-details/5717efc6f271cd52,"Jul 16, 1976"
Tsuyoshi,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,27,19,2,,http://ufcstats.com/fighter-details/b76ed59283d3559c,"Mar 06, 1970"
Kaloyan,Kolev,,"6' 2""",205 lbs.,"73.0""",Orthodox,10,1,0,,http://ufcstats.com/fighter-details/33de378ce1734638,"Oct 17, 1992"
John,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,9,0,,http://ufcstats.com/fighter-details/5f6038bcdb95e3e4,"Nov 26, 1974"
Yuki,Kondo,,"5' 11""",183 lbs.,--,Southpaw,60,33,9,,http://ufcstats.com/fighter-details/1fe7adb23b3eedfb,"Jul 17, 1975"
Syuri,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0,,http://ufcstats.com/fighter-details/a851c35f58199231,"Feb 08, 1989"
Mantas,Kondratavicius,,--,185 lbs.,--,,7,1,0,,http://ufcstats.com/fighter-details/3cc506f115cbb9d5,
Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2,,http://ufcstats.com/fighter-details/1eacf73d6a0055dc,"May 17, 1975"
Andrei,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,6,11,0,,http://ufcstats.com/fighter-details/dd39f1ca787a3d9d,"Jul 16, 1965"
Roman,Kopylov,,"6' 0""",185 lbs.,"75.0""",Southpaw,14,4,0,,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,"May 04, 1991"
Bruno,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0,,http://ufcstats.com/fighter-details/6c011be66326ad97,"Jun 28, 1991"
Chungreng,Koren,The Indian Rhino,--,135 lbs.,--,,7,1,0,,http://ufcstats.com/fighter-details/000774e57404d8c7,"Feb 01, 1998"
Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,,http://ufcstats.com/fighter-details/aee885b8ca29ab4f,"Aug 23, 1990"
Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0,,http://ufcstats.com/fighter-details/dd37fd509af89f15,"Nov 30, 1977"
Steven,Koslow,Obi Won Shinobi The Pillow,"5' 7""",125 lbs.,"69.0""",Switch,6,1,0,,http://ufcstats.com/fighter-details/84512339473dd300,"Jan 22, 1997"
Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7,,http://ufcstats.com/fighter-details/bc8f6b42767e28df,"Dec 08, 1981"
Ilya,Kotau,,--,170 lbs.,--,,1,2,0,,http://ufcstats.com/fighter-details/a68d57ae177a5815,
Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,,http://ufcstats.com/fighter-details/c6becb722706c7d8,
Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,,http://ufcstats.com/fighter-details/8fbcd82bf7f352bf,
Marcus,Kowal,,--,135 lbs.,--,,3,1,1,,http://ufcstats.com/fighter-details/ad0e42800a0d8977,
Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,16,9,0,,http://ufcstats.com/fighter-details/d7c3816669784109,"Oct 15, 1985"
Steve,Kozola,,--,155 lbs.,--,,8,0,0,,http://ufcstats.com/fighter-details/fc36e2352dccf2a4,
Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,,http://ufcstats.com/fighter-details/714e1e0681ddb703,"Jan 13, 1988"
James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,,http://ufcstats.com/fighter-details/8f6a18831a120817,"Jun 04, 1986"
Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,,http://ufcstats.com/fighter-details/a01e84abefd85ec0,"Apr 19, 1987"
Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/db05271715bb4874,
Kaynan,Kruschewsky,Bahia,"6' 0""",155 lbs.,"73.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/ca36633b80be4a78,"Apr 04, 1991"
Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,,http://ufcstats.com/fighter-details/6071d786f6187810,"May 08, 1974"
Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,30,10,0,,http://ufcstats.com/fighter-details/1091d4d957141094,"Mar 07, 1992"
Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0,,http://ufcstats.com/fighter-details/ab16537dd1e5e81d,"Oct 04, 1989"
